Edge Sequence,Genus,1st order gonality,Divisor
2(*),1,gonality: 2,"[2, 0]",gonality: 3,"[3, 0]",gonality: 4,"[4, 0]",gonality: 2,"[1, 1]"
"3,5,5",10,gonality: 4,"[1, 1, 1, 1]",gonality: 7,"[3, 2, 1, 1]",gonality: 9,"[7, 0, 1, 1]",gonality: 4,"[1, 1, 1, 1]",
"4,2,4",7,gonality: 4,"[4, 0, 0, 0]",gonality: 6,"[5, 0, 0, 1]",gonality: 8,"[6, 0, 0, 2]",gonality: 4,"[1, 1, 1, 1]",
"4,2,5",8,gonality: 4,"[1, 2, 0, 1]",gonality: 7,"[5, 0, 1, 1]",gonality: 9,"[6, 0, 1, 2]",gonality: 4,"[1, 1, 1, 1]",
"4,3,4",8,gonality: 4,"[1, 1, 1, 1]",gonality: 7,"[5, 0, 2, 0]",gonality: 9,"[6, 0, 2, 1]",gonality: 4,"[1, 1, 1, 1]",
"4,3,5",9,gonality: 4,"[1, 1, 1, 1]",gonality: 7,"[5, 0, 0, 2]",gonality: 9,"[5, 3, 0, 1]",gonality: 4,"[1, 1, 1, 1]",
"4,4,4",9,gonality: 4,"[4, 0, 0, 0]",gonality: 7,"[5, 1, 1, 0]",gonality: 8,"[5, 1, 1, 1]",gonality: 4,"[1, 1, 1, 1]",
"4,4,5",10,gonality: 4,"[1, 1, 1, 1]",gonality: 7,"[5, 0, 1, 1]",gonality: 9,"[5, 1, 2, 1]",gonality: 4,"[1, 1, 1, 1]",
"4,5,4",10,gonality: 4,"[1, 1, 1, 1]",gonality: 7,"[5, 2, 0, 0]",gonality: 9,"[5, 2, 1, 1]",gonality: 4,"[1, 1, 1, 1]",
"4,5,5",11,gonality: 4,"[1, 1, 1, 1]",gonality: 7,"[4, 1, 1, 1]",gonality: 9,"[5, 2, 1, 1]",gonality: 4,"[1, 1, 1, 1]",
"5,2,5",9,gonality: 4,"[1, 2, 0, 1]",gonality: 7,"[2, 3, 0, 2]",gonality: 9,"[6, 2, 0, 1]",gonality: 4,"[1, 1, 1, 1]",
"5,3,5",10,gonality: 4,"[1, 1, 1, 1]",gonality: 8,"[6, 2, 0, 0]",gonality: 10,"[7, 2, 0, 1]",gonality: 4,"[1, 1, 1, 1]",
"5,4,5",11,gonality: 4,"[1, 1, 1, 1]",gonality: 8,"[6, 0, 2, 0]",gonality: 10,"[7, 0, 2, 1]",gonality: 4,"[1, 1, 1, 1]",
"5,5,5",12,gonality: 4,"[1, 1, 1, 1]",gonality: 8,"[6, 1, 1, 0]",gonality: 9,"[6, 1, 1, 1]",gonality: 4,"[1, 1, 1, 1]",
"2,2,2,2",4,gonality: 2,"[2, 0, 0, 0, 0]",gonality: 4,"[4, 0, 0, 0, 0]",gonality: 6,"[6, 0, 0, 0, 0]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,2,2,3",5,gonality: 3,"[2, 0, 0, 1, 0]",gonality: 5,"[4, 0, 0, 1, 0]",gonality: 7,"[6, 0, 0, 1, 0]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,2,2,4",6,gonality: 3,"[2, 0, 0, 0, 1]",gonality: 5,"[4, 0, 0, 0, 1]",gonality: 7,"[6, 0, 0, 0, 1]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,2,2,5",7,gonality: 3,"[2, 0, 0, 0, 1]",gonality: 6,"[4, 0, 0, 1, 1]",gonality: 8,"[6, 0, 0, 1, 1]",gonality: 5,"[1, 1, 1, 1, 1]",
"2,2,2,6",8,gonality: 3,"[2, 0, 0, 0, 1]",gonality: 6,"[4, 0, 0, 0, 2]",gonality: 8,"[6, 0, 0, 0, 2]",gonality: 5,"[1, 1, 1, 1, 1]",
