Edge Sequence,Genus,1st order gonality,Divisor,2nd order gonality,Divisor,3rd order gonality,Divisor,Multiplicity free gonality,Divisor,Counterexample?
"1,3,5,3",8,gonality: 4,"[1, 0, 1, 1, 1]",gonality: 7,"[7, 0, 0, 0, 0]",gonality: 9,"[9, 0, 0, 0, 0]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,3,5,4",9,gonality: 4,"[1, 0, 1, 1, 1]",gonality: 7,"[7, 0, 0, 0, 0]",gonality: 9,"[7, 0, 0, 1, 1]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,3,5,5",10,gonality: 4,"[1, 0, 1, 1, 1]",gonality: 7,"[3, 0, 2, 1, 1]",gonality: 9,"[7, 0, 0, 1, 1]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,1,2",4,gonality: 3,"[1, 0, 2, 0, 0]",gonality: 5,"[5, 0, 0, 0, 0]",gonality: 6,"[6, 0, 0, 0, 0]",gonality: 3,"[1, 0, 1, 1, 0]",
"1,4,1,3",5,gonality: 3,"[1, 0, 1, 0, 1]",gonality: 5,"[5, 0, 0, 0, 0]",gonality: 7,"[6, 0, 1, 0, 0]",gonality: 3,"[1, 0, 1, 0, 1]",
"1,4,1,4",6,gonality: 3,"[1, 0, 1, 0, 1]",gonality: 6,"[5, 0, 1, 0, 0]",gonality: 7,"[5, 0, 1, 0, 1]",gonality: 3,"[1, 0, 1, 0, 1]",
"1,4,1,5",7,gonality: 3,"[1, 0, 1, 0, 1]",gonality: 6,"[4, 0, 1, 0, 1]",gonality: 8,"[5, 0, 2, 0, 1]",gonality: 3,"[1, 0, 1, 0, 1]",
"1,4,2,2",5,gonality: 3,"[1, 0, 2, 0, 0]",gonality: 5,"[5, 0, 0, 0, 0]",gonality: 7,"[6, 0, 1, 0, 0]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,2,3",6,gonality: 4,"[4, 0, 0, 0, 0]",gonality: 6,"[5, 0, 1, 0, 0]",gonality: 8,"[6, 0, 2, 0, 0]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,2,4",7,gonality: 4,"[4, 0, 0, 0, 0]",gonality: 6,"[5, 0, 0, 0, 1]",gonality: 8,"[6, 0, 0, 0, 2]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,2,5",8,gonality: 4,"[1, 0, 2, 0, 1]",gonality: 7,"[5, 0, 0, 1, 1]",gonality: 9,"[6, 0, 0, 1, 2]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,3,2(*)",6,gonality: 4,"[4, 0, 0, 0, 0]",gonality: 5,"[5, 0, 0, 0, 0]",gonality: 8,"[8, 0, 0, 0, 0]",gonality: 4,"[1, 0, 1, 1, 1]"
"1,4,3,3",7,gonality: 4,"[4, 0, 0, 0, 0]",gonality: 6,"[5, 0, 0, 1, 0]",gonality: 8,"[6, 0, 0, 1, 1]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,3,4",8,gonality: 4,"[1, 0, 1, 1, 1]",gonality: 7,"[5, 0, 0, 2, 0]",gonality: 9,"[6, 0, 0, 2, 1]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,3,5",9,gonality: 4,"[1, 0, 1, 1, 1]",gonality: 7,"[5, 0, 0, 0, 2]",gonality: 9,"[5, 0, 3, 0, 1]",gonality: 4,"[1, 0, 1, 1, 1]",
"1,4,4,1",6,gonality: 3,"[1, 0, 1, 1, 0]",gonality: 6,"[5, 0, 1, 0, 0]",gonality: 7,"[5, 0, 1, 1, 0]",gonality: 3,"[1, 0, 1, 1, 0]",
