Edge Sequence,Genus,1st order gonality
"5,3,9",14,gonality: 4
"5,4,5",11,gonality: 4
"5,4,6",12,gonality: 4
"5,4,7",13,gonality: 4
"5,4,8",14,gonality: 4
"5,4,9",15,gonality: 4
"5,5,5",12,gonality: 4
"5,5,6",13,gonality: 4
"5,5,7",14,gonality: 4
"5,5,8",15,gonality: 4
"5,5,9",16,gonality: 4
"5,6,5",13,gonality: 4
"5,6,6",14,gonality: 4
"5,6,7",15,gonality: 4
"5,6,8",16,gonality: 4
"5,6,9",17,gonality: 4
"5,7,5",14,gonality: 4
"5,7,6",15,gonality: 4
"5,7,7",16,gonality: 4
"5,7,8",17,gonality: 4
"5,7,9",18,gonality: 4
"5,8,5",15,gonality: 4
"5,8,6",16,gonality: 4
"5,8,7",17,gonality: 4
"5,8,8",18,gonality: 4
"5,8,9",19,gonality: 4
"5,9,5",16,gonality: 4
"5,9,6",17,gonality: 4
"5,9,7",18,gonality: 4
"5,9,8",19,gonality: 4
"5,9,9",20,gonality: 4
"6,2,6",11,gonality: 4
"6,2,7",12,gonality: 4
"6,2,8",13,gonality: 4
"6,2,9",14,gonality: 4
"6,3,6",12,gonality: 4
"6,3,7",13,gonality: 4
"6,3,8",14,gonality: 4
"6,3,9",15,gonality: 4
"6,4,6",13,gonality: 4
"6,4,7",14,gonality: 4
"6,4,8",15,gonality: 4
"6,4,9",16,gonality: 4
"6,5,6",14,gonality: 4
"6,5,7",15,gonality: 4
"6,5,8",16,gonality: 4
"6,5,9",17,gonality: 4
"6,6,6",15,gonality: 4
"6,6,7",16,gonality: 4
"6,6,8",17,gonality: 4
"6,6,9",18,gonality: 4
"6,7,6",16,gonality: 4
"6,7,7",17,gonality: 4
"6,7,8",18,gonality: 4
"6,7,9",19,gonality: 4
"6,8,6",17,gonality: 4
"6,8,7",18,gonality: 4
"6,8,8",19,gonality: 4
"6,8,9",20,gonality: 4
"6,9,6",18,gonality: 4
"6,9,7",19,gonality: 4
"6,9,8",20,gonality: 4
"6,9,9",21,gonality: 4
"7,2,7",13,gonality: 4
"7,2,8",14,gonality: 4
"7,2,9",15,gonality: 4
"7,3,7",14,gonality: 4
"7,3,8",15,gonality: 4
"7,3,9",16,gonality: 4
"7,4,7",15,gonality: 4
"7,4,8",16,gonality: 4
"7,4,9",17,gonality: 4
"7,5,7",16,gonality: 4
"7,5,8",17,gonality: 4
"7,5,9",18,gonality: 4
"7,6,7",17,gonality: 4
"7,6,8",18,gonality: 4
"7,6,9",19,gonality: 4
"7,7,7",18,gonality: 4
"7,7,8",19,gonality: 4
"7,7,9",20,gonality: 4
"7,8,7",19,gonality: 4
"7,8,8",20,gonality: 4
"7,8,9",21,gonality: 4
"7,9,7",20,gonality: 4
"7,9,8",21,gonality: 4
"7,9,9",22,gonality: 4
"8,2,8",15,gonality: 4
"8,2,9",16,gonality: 4
"8,3,8",16,gonality: 4
"8,3,9",17,gonality: 4
"8,4,8",17,gonality: 4
"8,4,9",18,gonality: 4
"8,5,8",18,gonality: 4
"8,5,9",19,gonality: 4
"8,6,8",19,gonality: 4
"8,6,9",20,gonality: 4
"8,7,8",20,gonality: 4
"8,7,9",21,gonality: 4
"8,8,8",21,gonality: 4
"8,8,9",22,gonality: 4
"8,9,8",22,gonality: 4
"8,9,9",23,gonality: 4
"9,2,9",17,gonality: 4
"9,3,9",18,gonality: 4
"9,4,9",19,gonality: 4
"9,5,9",20,gonality: 4
"9,6,9",21,gonality: 4
"9,7,9",22,gonality: 4
"9,8,9",23,gonality: 4
"9,9,9",24,gonality: 4
"2,2,2,2",4,gonality: 2
"2,2,2,3",5,gonality: 3
"2,2,2,4",6,gonality: 3
"2,2,2,5",7,gonality: 3
"2,2,2,6",8,gonality: 3
"2,2,2,7",9,gonality: 3
"2,2,2,8",10,gonality: 3
"2,2,2,9",11,gonality: 3
"2,2,2,10",12,gonality: 3
"2,2,2,11",13,gonality: 3
"2,2,3,2",5,gonality: 3
"2,2,3,3",6,gonality: 3
"2,2,3,4",7,gonality: 4
"2,2,3,5",8,gonality: 4
"2,2,3,6",9,gonality: 4
"2,2,3,7",10,gonality: 4
"2,2,3,8",11,gonality: 4
"2,2,3,9",12,gonality: 4
"2,2,3,10",13,gonality: 4
"2,2,3,11",14,gonality: 4
"2,2,4,2",6,gonality: 4
"2,2,4,3",7,gonality: 4
"2,2,4,4",8,gonality: 4
"2,2,4,5",9,gonality: 4
"2,2,4,6",10,gonality: 4
"2,2,4,7",11,gonality: 4
"2,2,4,8",12,gonality: 4
"2,2,4,9",13,gonality: 4
"2,2,4,10",14,gonality: 4
"2,2,4,11",15,gonality: 4
"2,2,5,2",7,gonality: 4
"2,2,5,3",8,gonality: 4
"2,2,5,4",9,gonality: 4
"2,2,5,5",10,gonality: 4
"2,2,5,6",11,gonality: 4
"2,2,5,7",12,gonality: 4
"2,2,5,8",13,gonality: 4
"2,2,5,9",14,gonality: 4
"2,2,5,10",15,gonality: 4
"2,2,5,11",16,gonality: 4
"2,2,6,2",8,gonality: 4
"2,2,6,3",9,gonality: 4
"2,2,6,4",10,gonality: 4
"2,2,6,5",11,gonality: 4
"2,2,6,6",12,gonality: 4
"2,2,6,7",13,gonality: 4
"2,2,6,8",14,gonality: 4
"2,2,6,9",15,gonality: 4
"2,2,6,10",16,gonality: 4
"2,2,6,11",17,gonality: 4
"2,2,7,2",9,gonality: 4
"2,2,7,3",10,gonality: 4
"2,2,7,4",11,gonality: 4
"2,2,7,5",12,gonality: 4
"2,2,7,6",13,gonality: 4
"2,2,7,7",14,gonality: 4
"2,2,7,8",15,gonality: 4
"2,2,7,9",16,gonality: 4
"2,2,7,10",17,gonality: 4
"2,2,7,11",18,gonality: 4
"2,2,8,2",10,gonality: 4
"2,2,8,3",11,gonality: 4
"2,2,8,4",12,gonality: 4
"2,2,8,5",13,gonality: 4
"2,2,8,6",14,gonality: 4
"2,2,8,7",15,gonality: 4
"2,2,8,8",16,gonality: 4
"2,2,8,9",17,gonality: 4
"2,2,8,10",18,gonality: 4
"2,2,8,11",19,gonality: 4
"2,2,9,2",11,gonality: 4
"2,2,9,3",12,gonality: 4
"2,2,9,4",13,gonality: 4
"2,2,9,5",14,gonality: 4
"2,2,9,6",15,gonality: 4
"2,2,9,7",16,gonality: 4
"2,2,9,8",17,gonality: 4
"2,2,9,9",18,gonality: 4
"2,2,9,10",19,gonality: 4
"2,2,9,11",20,gonality: 4
"2,2,10,2",12,gonality: 4
"2,2,10,3",13,gonality: 4
"2,2,10,4",14,gonality: 4
"2,2,10,5",15,gonality: 4
"2,2,10,6",16,gonality: 4
"2,2,10,7",17,gonality: 4
"2,2,10,8",18,gonality: 4
"2,2,10,9",19,gonality: 4
"2,2,10,10",20,gonality: 4
"2,2,10,11",21,gonality: 4
"2,2,11,2",13,gonality: 4
"2,2,11,3",14,gonality: 4
"2,2,11,4",15,gonality: 4
"2,2,11,5",16,gonality: 4
"2,2,11,6",17,gonality: 4
"2,2,11,7",18,gonality: 4
"2,2,11,8",19,gonality: 4
"2,2,11,9",20,gonality: 4
"2,2,11,10",21,gonality: 4
"2,2,11,11",22,gonality: 4
"2,3,2,3",6,gonality: 4
"2,3,2,4",7,gonality: 4
"2,3,2,5",8,gonality: 4
"2,3,2,6",9,gonality: 4
"2,3,2,7",10,gonality: 4
"2,3,2,8",11,gonality: 4
"2,3,2,9",12,gonality: 4
"2,3,2,10",13,gonality: 4
"2,3,2,11",14,gonality: 4
"2,3,3,2",6,gonality: 3
"2,3,3,3",7,gonality: 3
"2,3,3,4",8,gonality: 4
"2,3,3,5",9,gonality: 4
"2,3,3,6",10,gonality: 4
"2,3,3,7",11,gonality: 4
"2,3,3,8",12,gonality: 4
"2,3,3,9",13,gonality: 4
"2,3,3,10",14,gonality: 4
"2,3,3,11",15,gonality: 4
"2,3,4,2",7,gonality: 4
"2,3,4,3",8,gonality: 4
"2,3,4,4",9,gonality: 4
"2,3,4,5",10,gonality: 5
"2,3,4,6",11,gonality: 5
"2,3,4,7",12,gonality: 5
"2,3,4,8",13,gonality: 5
"2,3,4,9",14,gonality: 5
"2,3,4,10",15,gonality: 5
"2,3,4,11",16,gonality: 5
"2,3,5,2",8,gonality: 5
"2,3,5,3",9,gonality: 5
"2,3,5,4",10,gonality: 5
"2,3,5,5",11,gonality: 5
"2,3,5,6",12,gonality: 5
"2,3,5,7",13,gonality: 5
"2,3,5,8",14,gonality: 5
"2,3,5,9",15,gonality: 5
"2,3,5,10",16,gonality: 5
"2,3,5,11",17,gonality: 5
"2,3,6,2",9,gonality: 5
"2,3,6,3",10,gonality: 5
"2,3,6,4",11,gonality: 5
"2,3,6,5",12,gonality: 5
"2,3,6,6",13,gonality: 5
"2,3,6,7",14,gonality: 5
"2,3,6,8",15,gonality: 5
"2,3,6,9",16,gonality: 5
"2,3,6,10",17,gonality: 5
"2,3,6,11",18,gonality: 5
"2,3,7,2",10,gonality: 5
"2,3,7,3",11,gonality: 5
"2,3,7,4",12,gonality: 5
"2,3,7,5",13,gonality: 5
"2,3,7,6",14,gonality: 5
"2,3,7,7",15,gonality: 5
"2,3,7,8",16,gonality: 5
"2,3,7,9",17,gonality: 5
"2,3,7,10",18,gonality: 5
"2,3,7,11",19,gonality: 5
"2,3,8,2",11,gonality: 5
"2,3,8,3",12,gonality: 5
"2,3,8,4",13,gonality: 5
"2,3,8,5",14,gonality: 5
"2,3,8,6",15,gonality: 5
"2,3,8,7",16,gonality: 5
"2,3,8,8",17,gonality: 5
"2,3,8,9",18,gonality: 5
"2,3,8,10",19,gonality: 5
"2,3,8,11",20,gonality: 5
"2,3,9,2",12,gonality: 5
"2,3,9,3",13,gonality: 5
"2,3,9,4",14,gonality: 5
"2,3,9,5",15,gonality: 5
"2,3,9,6",16,gonality: 5
"2,3,9,7",17,gonality: 5
"2,3,9,8",18,gonality: 5
"2,3,9,9",19,gonality: 5
"2,3,9,10",20,gonality: 5
"2,3,9,11",21,gonality: 5
"2,3,10,2",13,gonality: 5
"2,3,10,3",14,gonality: 5
"2,3,10,4",15,gonality: 5
"2,3,10,5",16,gonality: 5
"2,3,10,6",17,gonality: 5
"2,3,10,7",18,gonality: 5
"2,3,10,8",19,gonality: 5
"2,3,10,9",20,gonality: 5
"2,3,10,10",21,gonality: 5
"2,3,10,11",22,gonality: 5
"2,3,11,2",14,gonality: 5
"2,3,11,3",15,gonality: 5
"2,3,11,4",16,gonality: 5
